_id,userId,credentialsID,driveLink,organization,expireDate,issueDate,durationInWeeks,skills
66153fadf18a366646f01d8a,66153f15f18a366646f01d80,vchgHYIvmjMDmsYgvybEfLZCaWmvtYyF,https://www.jones.com/,Jones-Brown,2024-10-06,2024-01-17,19,AWS
66153fadf18a366646f01d8b,66153f15f18a366646f01d80,CITZfSeBieuGcdpxDRQOQKxEFTgzVROf,https://www.manning.com/,"Powers, Booth and Barron",2024-07-19,2023-04-19,14,PHP
66153fadf18a366646f01d8c,66153f15f18a366646f01d80,BmjLyTeKBSPEsAuhKQHnGnvjvSLTEkpB,http://alexander-sanchez.com/,"Thomas, Smith and Ward",2024-05-17,2023-12-15,25,Power BI
66153fadf18a366646f01d8d,66153f15f18a366646f01d80,ItOZeepdKhEeYQHnYcKWsKIuWgPXgakB,http://www.brewer.com/,Ali-Guerra,2024-05-20,2023-04-19,46,Angular
66153fadf18a366646f01d8e,66153f16f18a366646f01d81,zfaTtVNVeDcInzkhvhHbWYzKPRXzjJLQ,http://parks-swanson.com/,Dunn Inc,2025-03-27,2023-11-08,14,Snowflake
66153fadf18a366646f01d8f,66153f16f18a366646f01d81,XmkcVTKOxjMrGAYpdQTfBOCiOyJRSVwB,https://marsh.biz/,Taylor-Manning,2024-12-10,2023-07-27,8,Power BI
66153fadf18a366646f01d90,66153f16f18a366646f01d81,oQILAKuiUotdYGskjKTxXjZSaaoeJjXD,https://www.wilkerson.com/,"Stafford, Lee and Kelley",2024-05-30,2023-10-10,30,React
66153fadf18a366646f01d91,66153f16f18a366646f01d81,vvEKHIhMaZoNMuBciCjElqzjZeYYGPFs,http://www.smith.net/,Rivera and Sons,2025-01-05,2023-08-27,12,Power BI
6615419ef18a366646f0312d,66153f15f18a366646f01d80,PLZPtKLzywuTcZjQsRuWLCTQXdYAqKCg,http://www.mason.org/,"Donovan, Ellis and Henderson",2025-03-19,2023-08-14,46,React Native
6615419ef18a366646f0312e,66153f15f18a366646f01d80,FjvyLOxFlFsXEODARKeGtkWWDxRUJklL,http://lee.com/,Bowen Group,2024-09-07,2024-01-17,1,PHP
6615419ef18a366646f0312f,66153f15f18a366646f01d80,hNGmqftRcMJbdmZSdSkIJYwGZhMYADmP,http://bell.org/,"Palmer, Harrison and Moore",2024-06-15,2023-08-22,16,Snowflake
6615419ef18a366646f03130,66153f15f18a366646f01d80,ZbIoVziRVByChSWGpMZlEqvjjHccJgaE,http://www.jackson-warner.info/,Alvarado-Patterson,2024-08-05,2023-09-30,15,Presenting
