_id,userId,skillMode,skills,rateYourself,driveLink
6615402ff18a366646f01d96,66153f15f18a366646f01d80,collaborativeLearning,Project Mgmt,2,http://patton.com/
6615402ff18a366646f01d97,66153f15f18a366646f01d80,youtube,React Native,3,http://www.sanchez.info/
6615402ff18a366646f01d98,66153f15f18a366646f01d80,collaborativeLearning,Angular,3,https://gates-moore.net/
6615402ff18a366646f01d99,66153f16f18a366646f01d81,collaborativeLearning,React,4,https://hopkins-moore.net/
6615402ff18a366646f01d9a,66153f16f18a366646f01d81,youtube,React,4,https://www.williams.org/
6615402ff18a366646f01d9b,66153f16f18a366646f01d81,youtube,Power BI,3,https://pacheco.com/
661541f9f18a366646f048a9,66153f15f18a366646f01d80,youtube,AWS Lambda,5,https://lane-barker.info/
661541f9f18a366646f048aa,66153f15f18a366646f01d80,personalProjects,AWS Lambda,4,http://www.gomez.org/
661541f9f18a366646f048ab,66153f15f18a366646f01d80,collaborativeLearning,Angular,4,https://www.braun.net/
661541f9f18a366646f048ac,66153f16f18a366646f01d81,personalProjects,AWS Lambda,5,http://www.wright.info/
661541f9f18a366646f048ad,66153f16f18a366646f01d81,youtube,Snowflake,4,https://castillo-murphy.biz/
661541f9f18a366646f048ae,66153f16f18a366646f01d81,previouslyGained,Python,3,http://avila.info/
661541f9f18a366646f048af,6615414bf18a366646f01d9d,previouslyGained,ADF,1,https://www.curry-thompson.com/
661541f9f18a366646f048b0,6615414bf18a366646f01d9d,previouslyGained,Python,4,http://www.sanchez.com/
661541f9f18a366646f048b1,6615414bf18a366646f01d9d,collaborativeLearning,React Native,2,https://dawson-soto.com/
661541f9f18a366646f048b2,6615414bf18a366646f01d9e,youtube,Presenting,2,https://www.nixon.biz/
661541f9f18a366646f048b3,6615414bf18a366646f01d9e,previouslyGained,Slides,4,http://www.hill-stuart.com/
661541f9f18a366646f048b4,6615414bf18a366646f01d9e,youtube,Power BI,3,http://becker-carr.org/
661541f9f18a366646f048b5,6615414bf18a366646f01d9f,collaborativeLearning,Snowflake,1,https://conner.com/
661541f9f18a366646f048b6,6615414bf18a366646f01d9f,personalProjects,React Native,5,http://www.haley.com/
661541f9f18a366646f048b7,6615414bf18a366646f01d9f,collaborativeLearning,Presenting,3,https://schmidt.com/
661541f9f18a366646f048b8,6615414bf18a366646f01da0,youtube,React,1,https://jackson-manning.com/
661541f9f18a366646f048b9,6615414bf18a366646f01da0,personalProjects,React Native,1,https://www.frost.com/
661541f9f18a366646f048ba,6615414bf18a366646f01da0,personalProjects,Project Mgmt,3,http://leonard.org/
661541f9f18a366646f048bb,6615414bf18a366646f01da1,collaborativeLearning,ADF,3,http://www.keller.biz/
661541f9f18a366646f048bc,6615414bf18a366646f01da1,collaborativeLearning,PHP,3,http://www.crosby.net/
661541f9f18a366646f048bd,6615414bf18a366646f01da1,personalProjects,AWS Lambda,5,https://www.barrera.com/
661541f9f18a366646f048be,6615414bf18a366646f01da2,personalProjects,Alteryx,3,http://www.perkins.com/
661541f9f18a366646f048bf,6615414bf18a366646f01da2,previouslyGained,Python,5,http://taylor.com/
661541f9f18a366646f048c0,6615414bf18a366646f01da2,youtube,Snowflake,1,http://robertson.com/
661541f9f18a366646f048c1,6615414bf18a366646f01da3,previouslyGained,AWS Lambda,5,https://www.soto-velasquez.com/
661541f9f18a366646f048c2,6615414bf18a366646f01da3,collaborativeLearning,Project Mgmt,3,http://www.conley-li.com/
661541f9f18a366646f048c3,6615414bf18a366646f01da3,collaborativeLearning,Snowflake,5,https://burns-meyers.com/
661541f9f18a366646f048c4,6615414bf18a366646f01da4,youtube,React,2,https://schultz-allen.net/
661541f9f18a366646f048c5,6615414bf18a366646f01da4,previouslyGained,Power BI,2,http://boone.com/
661541f9f18a366646f048c6,6615414bf18a366646f01da4,previouslyGained,AWS Lambda,2,https://smith-lopez.com/
661541f9f18a366646f048c7,6615414bf18a366646f01da5,youtube,Project Mgmt,4,http://blair-leonard.org/
661541f9f18a366646f048c8,6615414bf18a366646f01da5,collaborativeLearning,ADF,5,http://rivera.com/
661541f9f18a366646f048c9,6615414bf18a366646f01da5,personalProjects,AWS,1,http://thomas-hill.com/
661541f9f18a366646f048ca,6615414bf18a366646f01da6,personalProjects,Project Mgmt,1,https://brown-sullivan.com/
661541f9f18a366646f048cb,6615414bf18a366646f01da6,collaborativeLearning,Slides,5,http://www.davis-lozano.com/
661541f9f18a366646f048cc,6615414bf18a366646f01da6,youtube,Python,3,https://www.miller.com/
661541f9f18a366646f048cd,6615414bf18a366646f01da7,personalProjects,Project Mgmt,4,http://www.goodwin-kramer.net/
661541f9f18a366646f048ce,6615414bf18a366646f01da7,youtube,React,4,https://www.carter.info/
661541f9f18a366646f048cf,6615414bf18a366646f01da7,previouslyGained,Project Mgmt,3,http://www.hobbs.com/
661541f9f18a366646f048d0,6615414bf18a366646f01da8,previouslyGained,Angular,5,https://www.hartman.info/
661541f9f18a366646f048d1,6615414bf18a366646f01da8,collaborativeLearning,PHP,4,http://www.martinez.info/
661541f9f18a366646f048d2,6615414bf18a366646f01da8,previouslyGained,Snowflake,1,https://wheeler.com/
661541f9f18a366646f048d3,6615414cf18a366646f01da9,personalProjects,Alteryx,4,https://www.madden.net/
661541f9f18a366646f048d4,6615414cf18a366646f01da9,previouslyGained,Project Mgmt,2,http://www.carrillo.info/
661541f9f18a366646f048d5,6615414cf18a366646f01da9,youtube,Angular,5,http://webb.net/
